Source,Brand,Rating,Review
Walmart,Red Baron,5,"This pizza is AWESOME!! We've been so sick of paying an arm and a leg for take out pizza and have been trying different frozen pizza's to try and find something close to take out and this pizza hit the mark! The brick oven crust is perfect as long as you cook it right on the oven rack and the pepperoni is thick and spicy. We add a little more cheese, mushrooms, peppers, and onions and it is SO good. Its the crust that makes it so good though. So we'll be saving tons of money with no more take out..."
Walmart,Red Baron,4,"This product has always been a family favorite. We like the new crust and how quickly it cools. The ingredients are good, the only disappointment is the pizza itself has gotten smaller not sure why. All in all it is a good pizza for the price and convenience."
Walmart,Red Baron,4,Alot cheaper than other brands. Kinda spicy though as far as the pepperoni Goes. Not bad though
Walmart,Red Baron,4,This is good and fast to fix as a snack.
Walmart,Red Baron,4,Very good for a frozen pizza.
Walmart,Red Baron,5,I buy this for my grandson he love's pepperoni pizza this is his fav.
Walmart,Red Baron,3,It is alright but could be better just didn't have enough pepperoni
Walmart,Red Baron,5,One of the best forzen pizzas great price my family loves
Walmart,Red Baron,5,good product good pizza
Walmart,Red Baron,4,Red Baron pizza was very good
Walmart,Red Baron,5,"No doubt would recommend this to a friend. Price is reasonable and the flavor is great! Different even from the classic or fire baked version. Crust has more of a garlic flavor and it's close to ""hand-tossed"" thick. We don't enjoy thick crust. Walmart has them on special a lot. We try to always keep at least two on hand! Grandkids love them!"
Walmart,Red Baron,5,"For a quick evening meal that tastes great, this is the product.  We have baked and grilled and both ways taste great"
Walmart,Red Baron,5,These are THE only way to buy pizza if you are going frozen!! So good and don't taste like frozen or home cooked. The Mexican is THE best!!
Walmart,Red Baron,3,Ok.  Better off spending an extra dollar and getting a better brand
Walmart,Red Baron,5,Very thin and crispy crust!  Great peppering taste!  My son - a very picky eater actually prefers this one to any delivered pizza.
Walmart,Red Baron,5,We eat these all the time.  They taste great and you can't beat the price.
Walmart,Red Baron,2,"No consistency in the toppings.  Sometimes their pizzas have sauce and cheese....... and most times they are dry... very little sauce, cheese and pepperoni. No consistency in this product. Red Baron also has awful customer service!"
Walmart,Red Baron,1,"Would not buy again!  Bought this for my 5 yr old niece, who loves pizza. She was no impressed, did not even want a 2nd piece. After tasting, I discovered why, had very little flavor, very flat tasting. would not recommend."
Walmart,Red Baron,4,"My son loves this pizza.  He chooses it every time we go to pick out pizza!  If he is satisfied and will eat it, I'm happy!"
Walmart,Red Baron,3,"Crust tough.   I do not like this crust (my husband does, that's why I have to buy it). Ha! The crust is so tough it seems like cardboard. Hey, maybe there are more out there like hubby."
Walmart,Red Baron,5,My husband and son love them
Walmart,Red Baron,3,Pizza is okay but not for price
Walmart,Red Baron,5,Best one along with supreme.  Taste so good
Walmart,Red Baron,5,We really enjoyed this pizza.  It was yummy and we would definitely puchase it again.  And it was #free thanks to #BzzAgent!
Walmart,Red Baron,5,Love that they have microwave metallic to cook them on.  They don't have big enough bags for bigger families.  Taste amazing though.
Walmart,Red Baron,5,It's a great lunch snack
Sam's Club,Red Baron,5,"These cook evenly, have good flavor and good texture.  They are a nice size for a light meal or a heavy snack. They cook nicely in the toaster oven when following the oven directions. These come out to less than 99 cents per pizza and are clearly superior to the alternative in flavor, texture, and even appearance.  They are definitley a good buy."
Sam's Club,Red Baron,5,"Excellent! Not greasy, just yummy. Very well seasoned. Maybe a little spicy for kids under 5. My 6 & 7 year old love it. The youngest likes cheese and the rest of the fam likes pepperoni, so this keeps everyone happy."
Sam's Club,Red Baron,5,I love these.  They are so good.  Great to have when you don't feel like cooking
Sam's Club,Red Baron,5,Very easy to prepare.  2 minutes in microwave and you've got a meal.
Sam's Club,Red Baron,5,"Very good, especially for the price.  I see great reviews for these pizzas when they're microwaved. I've never had them cooked that way, but I imagine they would be great. We always cook them in the oven. They come out great. The crust is firm without being hard. They're a little on the saucy side. My husband doesn't like a lot of sauce, but he thinks they're okay. I like lots of sauce and wish they had a bit more. I can eat one with a few tots. He can eat 2 and some tots. At about $1 each, the quality is amazing for the price."
Sam's Club,Red Baron,5,fantastic pizza tastes like delivery only better just wish they had other flavors again used to get supreme and think it was triple meat now they only carry pepperoni and four cheese
Sam's Club,Red Baron,4,"I like that they are all separately sealed. We bring these to camp a lot and don't have to worry about cutting a large pizza in half to fit it in the fridge. Usually we add banana peppers, onions and extra mozz, but they are still good on their own."
Sam's Club,Red Baron,4,I always buy this product because my family enjoys it as a quick snack after sports and recreation games with friends
Target,California Pizza Kitchen,5,"The best style they make, in my opinion.  Add your own mushrooms, and a dash more mozzarella, and you have a masterpiece! Great with a glass of red wine."
Target,California Pizza Kitchen,1,"I realize frozen pizza can be hit or miss, but this one was a complete failure.  Nowhere near as good as the one served in the local CPK restaurant."
Target,California Pizza Kitchen,5,"This pizza tasted even better than the version I've had in CPK restaurants, and that's really saying something.  The price was decent too.  I highly recommend it if you  haven't tried it."
Walmart,California Pizza Kitchen,5,Best pizza ever.  I could eat this (and Mexican cuisine) every single dat!  Quick mom of 4 under 4 got to meal!
Walmart,California Pizza Kitchen,5,Best pizza I've ever had.  This stuff is the answer
Walmart,California Pizza Kitchen,4,"Tastes Italian! I'd you're going to eat grocery store pizza, this is a really good one. Sauce is Italian tasting, crust is thin and crispy, lots of cheese too!! Definitely worth a try!!"
Walmart,Digiorno,5,This was sooooooo G-oo-d GOOD IF U IS SHOPPING THEN BUY!!!!!!
Walmart,Digiorno,5,THIS IS THE BEST FROZEN PIZZA EVER. I HAVE ONE EVERY SATURDAY NIGHT. PLEASE DO NOT CHANGE THE SAUCE OR ANY OTHER INGREDIENT.
Walmart,Digiorno,5,"very happy they ship frozen pizza, again very thankful"
Walmart,Digiorno,5,"This is one of my hubby's favorite dinners. He really enjoys the flavor of this product. We feel like it is a good value for the money and Walmart seems to have the best deals on this brand most of the time. Way to go, Walmart!"
Walmart,Digiorno,5,closest to a pizza hut pizza and don't have to leave the house. Best tasting frozen pizza by far. End of discussion.
Walmart,Digiorno,5,Having a rising crust makes the pizza as good as ordering out. We do wish they could create a larger pizza. The current one seems the size of a medium.
Walmart,Digiorno,5,I love the original sauce - this pizza is my favorite!
Walmart,Digiorno,5,"My son loves pizza , since he started eating Digiorno we doesn't even want delivery pizza. I guess the advertising got it right on this one."
Walmart,Digiorno,5,Always better then take out and quick to cook at home.
Walmart,Digiorno,5,We love the rising crust - it tastes better than delivery.  Way less greasy!!
Walmart,Digiorno,4,"It's not delivery, it's digornio! Always been a fan of their pizza but lately I've found a new contender, WILD MIKES! Pick up a wild mikes pizza sometime and see how fresh and amazing it is, oh and it's a 2 pound pizza for 3-4$ but still, have to give credit where it's due, digornio will always be the king of frozen pizza no matter what, with freschetta being a close 2nd."
Walmart,Digiorno,3,Nothing special.  Definitely not a 5 dollar pizza.
Walmart,Digiorno,5,I like pizza and I love this pizza it has a great taste and it taste better than a pizza you buy from a pizza store. I would recommend this pizza to everybody.
Walmart,Digiorno,4,For the price of the DiGiorno pizza it's good!!
Walmart,Digiorno,4,"it was pretty good.  Didn't blow my mind, but it was good."
Walmart,Digiorno,5,This is the pizza I always buy for my kids when I don't have time to cook.  The taste is like fresh homemade pizza.
Walmart,Digiorno,4,I don't like a lot of pizza brands - only papa johns and this pizza tastes good to me - I like it has thick crust which tastes great
Walmart,Digiorno,3,"Was not impressed.  Not enough cheese, sauce, etc on the crust"
Walmart,Digiorno,5,The best frozen pizza I've found
Walmart,Digiorno,4,this is one of the best purchased pizzas to have on hand
Walmart,Digiorno,5,best store bought pizza
Target,Digiorno,2,"I only buy four cheese digiorno, The last one was awful. But It may be me. I kinda lost my taste for pizza. As I am growing older and only eat it a few times a year."
